https://www.glassdoor.com/Job/jobs.htm?suggestCount=0&suggestChosen=false&clickSource=searchBtn&typedKeyword=data+scientist&sc.keyword=data+scientist&locT=&locId=&jobType=,Location,Salary,Review,Recency
"The Cadmus Group – Washington, DC","Washington, DC",Est. Salary $94k-$139k,3.2,7 days ago
"Tapjoy – San Francisco, CA","San Francisco, CA",Est. Salary $126k-$174k,3.6,11 days ago
"The Hanover Insurance Company – Worcester, MA","Worcester, MA",Est. Salary $88k-$129k,3.7,10 days ago
"Red Ventures – Charlotte, NC","Charlotte, NC",Est. Salary $69k-$104k,3.1,28 days ago
"Sonos – Santa Barbara, CA","Santa Barbara, CA",Est. Salary $113k-$157k,3.5,7 days ago
"Celonis – New York, NY","New York, NY",Est. Salary $79k-$117k,5.0,8 days ago
"Northwestern Mutual Life Insurance Company – Milwaukee, WI","Milwaukee, WI",Est. Salary $70k-$109k,3.9,27 days ago
"EMD Serono – Rockland, MA","Rockland, MA",Est. Salary $75k-$113k,3.5,22 days ago
"Amazon – Seattle, WA","Seattle, WA",Est. Salary $120k-$168k,3.6,20 days ago
"INgrooves Music Group – Los Angeles, CA","Los Angeles, CA",Est. Salary $75k-$111k,3.5,
"Experian – San Diego, CA","San Diego, CA",Est. Salary $107k-$152k,3.5,9 days ago
"Riverside Research Institute – Washington, DC","Washington, DC",Est. Salary $72k-$109k,4.1,
"Oscar Insurance – New York, NY","New York, NY",Est. Salary $120k-$174k,3.5,
"Walmart eCommerce – Sunnyvale, CA","Sunnyvale, CA",Est. Salary $106k-$147k,3.2,
"Even – Oakland, CA","Oakland, CA",Est. Salary $97k-$137k,,4 days ago
"C. H. Robinson Worldwide – Eden Prairie, MN","Eden Prairie, MN",Est. Salary $79k-$124k,3.3,20 days ago
"Quicken Loans – Detroit, MI","Detroit, MI",Est. Salary $83k-$126k,3.7,27 days ago
"Two Sigma – New York, NY","New York, NY",Est. Salary $126k-$193k,4.4,6 days ago
"Stitch Fix – San Francisco, CA","San Francisco, CA",Est. Salary $154k-$217k,3.8,17 days ago
"CVS Health – Woonsocket, RI","Woonsocket, RI",Est. Salary $66k-$102k,2.8,27 days ago
"Coursera – Mountain View, CA","Mountain View, CA",Est. Salary $148k-$211k,3.8,6 days ago
"adMarketplace – New York, NY","New York, NY",Est. Salary $105k-$158k,3.6,8 days ago
"Esurance – San Francisco, CA","San Francisco, CA",Est. Salary $78k-$111k,2.9,9 days ago
"Dell – Austin, TX","Austin, TX",Est. Salary $74k-$107k,3.7,24 days ago
"Factual – Los Angeles, CA","Los Angeles, CA",Est. Salary $123k-$176k,4.3,
"National Grid USA – Waltham, MA","Waltham, MA",Est. Salary $62k-$95k,3.5,19 days ago
"Stripe – San Francisco, CA","San Francisco, CA",Est. Salary $141k-$196k,4.3,6 days ago
"Synectics – Peapack, NJ","Peapack, NJ",Est. Salary $75k-$116k,3.1,
"23andMe, Inc. – Mountain View, CA","Mountain View, CA",Est. Salary $91k-$139k,4.6,10 days ago
"Adara Media – Mountain View, CA","Mountain View, CA",Est. Salary $113k-$162k,3.5,
"Newsela – New York, NY","New York, NY",Est. Salary $123k-$184k,3.9,7 days ago
